Date,Person,Time,EventType,City,State,Lat,Long
Date,Person,Time,EventType,City,State,38.8938459,-77.0488484
5-Jan-07,Tommy Thompson,Time N/A,Fundraiser,Madison,WI,43.0730517,-89.4012302
6-Jan-07,Mitt Romney,Time N/A,Speech,Sea Island,GA,31.1835648,-81.3498179
11-Jan-07,Mike Gravel,6:30 p.m.,Speech,Hanover,NH,43.7022451,-72.2895526
15-Jan-07,Chris Dodd,8 a.m.,Speech,West Columbia,SC,33.9934867,-81.0739825
15-Jan-07,Chris Dodd,10 a.m.,Appearance,Columbia,SC,34.0007104,-81.0348144
15-Jan-07,Chris Dodd,3 p.m.,Speech,Columbia,SC,34.0007104,-81.0348144
19-Jan-07,Chris Dodd,5:30 p.m.,Rally,Hartford,CT,41.7637111,-72.6850932
20-Jan-07,Chris Dodd,1 p.m.,Speech,Dover,NH,43.1978624,-70.8736698
20-Jan-07,Chris Dodd,4 p.m.,Meeting,Deerfield,NH,43.14611,-71.2169399
20-Jan-07,Chris Dodd,6:30 p.m.,Appearance,Henniker,NH,43.1798323,-71.8222872
21-Jan-07,Chris Dodd,1 p.m.,Speech,Hanover,NH,43.7022451,-72.2895526
26-Jan-07,Bill Richardson,Time N/A,Fundraiser,Albuquerque,NM,35.110703,-106.609991
27-Jan-07,Hillary Rodham Clinton,Time N/A,Speech,Des Moines,IA,41.6005448,-93.6091064
28-Jan-07,Hillary Rodham Clinton,Time N/A,Speech,Davenport,IA,41.5236437,-90.5776367
28-Jan-07,Bill Richardson,Time N/A,Speech,Minden,NV,38.9540739,-119.7657332
3-Feb-07,Joe Biden,Time N/A,Speech,Washington,DC,38.8951118,-77.0363658
3-Feb-07,Mike Gravel,Time N/A,Speech,Washington,DC,38.8951118,-77.0363658
3-Feb-07,Bill Richardson,Time N/A,Speech,Washington,DC,38.8951118,-77.0363658
10-Feb-07,Hillary Rodham Clinton,Time N/A,Speech,Berlin,NH,44.4686696,-71.1850768
10-Feb-07,Hillary Rodham Clinton,Time N/A,Speech,Concord,NH,43.2081366,-71.5375718
10-Feb-07,Barack Obama,Time N/A,Speech,Springfield,IL,39.7817213,-89.6501481
10-Feb-07,Barack Obama,Time N/A,Town Hall,Cedar Rapids,IA,41.9778795,-91.6656232
10-Feb-07,Barack Obama,Time N/A,Meeting,Waterloo,IA,42.4927641,-92.3429631
10-Feb-07,Barack Obama,Time N/A,Speech,Springfield,IL,39.7817213,-89.6501481
11-Feb-07,Hillary Rodham Clinton,4 p.m.,Speech,Keene,NH,42.933692,-72.2781409
11-Feb-07,Mike Gravel,Time N/A,Speech,Watertown,WI,43.1947211,-88.7289918
11-Feb-07,Barack Obama,Time N/A,Rally,Ames,IA,42.02335,-93.625622
15-Feb-07,Chris Dodd,10:30 a.m.,Appearance,Nashua,NH,42.7653662,-71.467566
15-Feb-07,Chris Dodd,4:15 p.m.,Meeting,Portsmouth,NH,43.0717552,-70.7625532
15-Feb-07,Bill Richardson,Time N/A,Fundraiser,Albuquerque,NM,35.110703,-106.609991
16-Feb-07,Chris Dodd,8 a.m.,Speech,Bedford,NH,42.9463291,-71.5132008
16-Feb-07,Chris Dodd,1:30 p.m.,Meeting,Keene,NH,42.933692,-72.2781409
16-Feb-07,Dennis Kucinich,7:30 p.m.,Speech,Lakewood,OH,41.4819932,-81.7981908
17-Feb-07,Hillary Rodham Clinton,10 a.m.,Speech,Dover,NH,43.1978624,-70.8736698
17-Feb-07,Dennis Kucinich,4:15 p.m.,Meeting,Norwalk,CT,41.1175966,-73.4078968
17-Feb-07,Dennis Kucinich,7:30 p.m.,Speech,Storrs,CT,41.8084314,-72.2495231
18-Feb-07,Dennis Kucinich,10:30 a.m.,Forum,Concord,NH,43.2081366,-71.5375718
18-Feb-07,Dennis Kucinich,3 p.m.,Speech,Laconia,NH,43.5278546,-71.4703509
18-Feb-07,Dennis Kucinich,7 p.m.,Speech,Hanover,NH,43.7022451,-72.2895526
19-Feb-07,Hillary Rodham Clinton,10 a.m.,Speech,Columbia,SC,34.0007104,-81.0348144
19-Feb-07,Hillary Rodham Clinton,1:15 p.m.,Meeting,Florence,SC,34.1954331,-79.7625625
19-Feb-07,Hillary Rodham Clinton,6 p.m.,Appearance,Charleston,SC,32.7765656,-79.9309216
19-Feb-07,Chris Dodd,Time N/A,Speech,Des Moines,IA,41.6005448,-93.6091064
19-Feb-07,Dennis Kucinich,11 a.m.,Appearance,Keene,NH,42.933692,-72.2781409
19-Feb-07,Dennis Kucinich,7 p.m.,Speech,Durham,NH,43.1339545,-70.9264393
20-Feb-07,Chris Dodd,11:30 a.m.,Fundraiser,Iowa City,IA,41.6611277,-91.5301683
20-Feb-07,Chris Dodd,5:30 p.m.,Meeting,Cedar Rapids,IA,41.9778795,-91.6656232
20-Feb-07,Mitt Romney,Time N/A,Fundraiser,Salt Lake City,UT,40.7607793,-111.8910474
21-Feb-07,Joe Biden,11 a.m.,Forum,Carson City,NV,39.1637984,-119.7674034
21-Feb-07,Hillary Rodham Clinton,11 a.m.,Forum,Carson City,NV,39.1637984,-119.7674034
21-Feb-07,Chris Dodd,11 a.m.,Forum,Carson City,NV,39.1637984,-119.7674034
21-Feb-07,John Edwards,11 a.m.,Forum,Carson City,NV,39.1637984,-119.7674034
21-Feb-07,Mike Gravel,11 a.m.,Forum,Carson City,NV,39.1637984,-119.7674034
21-Feb-07,Dennis Kucinich,11 a.m.,Forum,Carson City,NV,39.1637984,-119.7674034
21-Feb-07,Dennis Kucinich,3 p.m.,Meeting,Carson City,NV,39.1637984,-119.7674034
21-Feb-07,Barack Obama,Time N/A,Town Hall,Des Moines,IA,41.6005448,-93.6091064
21-Feb-07,Bill Richardson,11 a.m.,Forum,Carson City,NV,39.1637984,-119.7674034
21-Feb-07,Bill Richardson,Time N/A,Fundraiser,Centennial,CO,39.5807452,-104.8771726
21-Feb-07,Mitt Romney,Time N/A,Fundraiser,St. George,UT,37.0952778,-113.5780556
22-Feb-07,Barack Obama,Time N/A,Fundraiser,Houston,TX,29.7601927,-95.3693896
22-Feb-07,Barack Obama,Time N/A,Fundraiser,Houston,TX,29.7601927,-95.3693896
23-Feb-07,Dennis Kucinich,1 p.m.,Speech,Los Angeles,CA,34.0522342,-118.2436849
23-Feb-07,Barack Obama,3 p.m.,Rally,Austin,TX,30.267153,-97.7430608
23-Feb-07,Barack Obama,Time N/A,Fundraiser,Austin,TX,30.267153,-97.7430608
24-Feb-07,Dennis Kucinich,8:30 a.m.,Fundraiser,Pasadena,CA,34.1477849,-118.1445155
24-Feb-07,Dennis Kucinich,11 a.m.,Speech,Los Angeles,CA,34.0522342,-118.2436849
24-Feb-07,Dennis Kucinich,1 p.m.,Ceremony,Los Angeles,CA,34.0522342,-118.2436849
24-Feb-07,Dennis Kucinich,7 p.m.,Fundraiser,Culver City,CA,34.0211224,-118.3964665
24-Feb-07,Ron Paul,Time N/A,Fundraiser,Pembroke,NH,43.1466667,-71.4575
25-Feb-07,Ron Paul,Time N/A,Speech,Concord,NH,43.2081366,-71.5375718
26-Feb-07,Barack Obama,Time N/A,Rally,Cleveland,OH,41.4994954,-81.6954088
3-Mar-07,Barack Obama,10 a.m.,Rally,Chicago,IL,41.8781136,-87.6297982
4-Mar-07,Hillary Rodham Clinton,Time N/A,Appearance,Selma,AL,32.4073589,-87.0211007
4-Mar-07,Dennis Kucinich,5 p.m.,Rally,Morristown,NJ,40.7967667,-74.4815438
4-Mar-07,Barack Obama,Time N/A,Appearance,Selma,AL,32.4073589,-87.0211007
5-Mar-07,Duncan Hunter,Time N/A,Speech,Hilton Head Island,SC,32.216316,-80.752608
